,0,0
0,LC_4103.PV,0.00022704939665807057
1,LC_4105.PV,0.00022166826215247836
2,LC_4105.OP,0.007382185008547903
3,PC_4108.PV,0.00022195181889644253
4,LC_4109.PV,0.0007201702292331967
5,TI_4128.PV,0.00020665412329995945
6,FI_4118.PV,0.001189040614581969
7,TI_4132.PV,0.0002560577596690147
8,TI_4131.PV,0.0005334515310617994
9,LC_4119.PV,0.00026397060714414554
10,FI_4120.PV,0.000343500241575722
11,LC_4120.PV,0.0003929376616876496
12,TI_4134.PV,0.00026919124114293814
13,TI_4190.PV,0.0005307650646069381
14,PC_4111.PV,0.00037608504159736505
15,TI_4152.PV,0.0032856497109770904
16,TI_4164.PV,0.000814807378562987
17,TI_4159.PV,0.005369763907053639
18,TI_4163.PV,0.0002796453452341024
19,TI_4136.PV,0.0009906116686753646
20,TC_4120.PV,0.0004386047461000571
21,TI_4162.PV,0.0008027624295125087
22,TI_4139.PV,0.0002825310277910754
23,PC_4120.PV,0.0005178662195378695
24,PC_4114.PV,0.0004968088695305261
25,FC_4121.PV,0.01110089803181029
26,FC_4122.PV,0.6171595199894326
27,FC_4123.PV,0.00703446802558289
28,FC_4124.PV,0.001220759847420677
29,TC_4121.PV,0.00018563525873486588
30,TI_4142.PV,0.00026945955351747605
31,TI_4180.PV,0.00021752185819495605
32,TC_4158.PV,0.0007413339095071523
33,FC_4138.PV,0.0017233568910802204
34,TI_4147.PV,0.0009192792331239818
35,FC_4137.PV,0.003909960284202992
36,PC_4112.PV,0.00017966759940915366
37,LC_4123.PV,0.0011446185430209145
38,FC_4126.PV,0.0004830079639764126
39,LC_4122.PV,0.0006630180350422586
40,PI_4128.PV,0.00019573521549592595
41,TI_4145.PV,0.0004235982306474762
42,LC_4124.PV,0.00025201339610479067
43,LC_4125.PV,0.017461903464058615
44,FC_4132.PV,0.000530789834400142
45,FSI4170.PV,0.0002787511482349685
46,TI_4150.PV,0.00029181161364897327
47,LC_4122.OP,0.19396667548634125
48,TI_4101.PV,0.06376712941418847
49,FI_4117.PV,0.0011832637308499413
50,LC_4101.PV,0.0007236804020367741
51,LC_4101.OP,0.0012760058566882316
52,TI_4102.PV,0.0013803753125285127
53,FSI4101.PV,0.0015365871917991227
54,PC_4102.PV,0.0002625083564379662
55,LIX41022.PV,0.00011444533095922473
56,AI_41021.PV,0.0007406006231637458
57,TI_4151.PV,0.0011268131883616166
58,PQ_62003.PV,0.0008964098656506684
59,PQ_62004.PV,0.0162680441489782
60,FC_61001.PV,0.003968597420854195
61,HC_4113.OP,0.019374291516024465
62,TI_4191.PV,0.0006137343236593276
